game,score, train_time, len_buff
1,441.0,2.5402,1892
2,672.0,2.8369,4009
3,735.0,4.2458,7361
4,672.0,3.3339,9874
5,546.0,2.9394,12168
6,672.0,101.2249,15023
7,399.0,91.6965,17332
8,630.0,152.3578,20274
9,651.0,254.7676,24266
