game,score,train_time,len_buff
268,336,14.3351,1755
269,651,5.2626,3875
270,630,5.549,6170
271,399,4.2995,7947
272,651,7.0508,10792
273,567,10.554,12798
274,399,8.3356,15569
275,378,6.005,17422
276,588,7.5976,19893
277,693,9.4807,22842
278,609,9.7275,25991
279,357,5.0863,27532
280,336,3.9322,28731
281,693,11.2038,32386
282,441,7.0578,34600
283,630,9.8429,37670
284,630,9.9317,40571
285,462,4.2863,41877
286,693,8.6031,44527
287,567,9.4192,47640
288,588,10.6666,51106
289,567,7.438,53444
290,672,11.2401,57025
291,315,3.9149,58226
292,546,6.4391,60246
293,315,3.7731,61398
294,420,7.3528,63513
295,630,8.6901,66331
296,672,9.2157,69182
297,168,3.3029,70187
298,252,6.5926,71864
299,672,8.3599,74413
300,210,3.5545,75434
301,399,7.422,77516
302,441,7.617,79754
303,378,5.468,81476
304,651,11.2212,85093
305,651,6.8786,87312
306,651,8.6538,90101
307,672,9.5295,93157
308,630,8.2729,95823
309,483,8.6739,98577
310,210,2.6411,99344
311,399,5.3655,100963
312,714,9.1967,103855
313,609,10.71,107209
314,651,9.1682,110129
315,630,9.8223,113286
316,315,7.6385,115150
317,651,11.2212,85093
318,399,8.3356,15569
319,357,6.0705,1665
320,189,3.0591,2557
321,315,5.0022,4185
322,630,8.0927,6841
323,630,12.3903,10955
324,231,3.3193,11986
325,315,4.208,13347
326,609,6.5704,15537
327,672,7.4804,17991
328,714,10.3612,21442
329,630,12.1317,25578
330,630,8.2862,28280
331,336,4.5412,29747
332,651,7.5851,32268
333,378,6.3862,34403
334,294,5.037,35975
335,462,5.4995,37750
336,525,6.3772,39884
337,609,8.2806,42632
338,378,6.988,44797
339,609,8.3892,47650
340,672,7.8415,50347
341,546,8.3402,53157
342,462,7.2049,55513
343,609,8.2468,58326
344,588,7.3649,60757
345,651,8.9233,63663
346,693,9.2752,66768
347,399,4.5583,68249
348,399,6.0613,70175
349,651,10.2115,73629
350,399,5.3627,75376
351,525,6.923,77651
352,420,5.8783,79488
353,630,6.274,81572
354,651,8.4845,84443
355,630,8.5746,87320
356,588,8.3317,90042
357,630,9.7301,93280
358,651,8.2941,96001
359,294,7.419,98351
360,609,9.4832,101503
361,651,9.6459,104722
362,462,6.4452,106722
363,630,9.2359,109880
364,546,8.1418,112656
365,399,5.9772,114616
366,588,12.1719,118663
367,525,7.2121,121101
368,420,5.7968,123023
369,693,10.4253,126479
370,399,5.9162,128412
371,462,5.8104,130323
372,630,6.7179,132520
373,651,9.4716,135740
374,651,7.1406,138115
375,462,7.1899,140550
376,609,10.0832,143913
377,651,7.9992,146607
378,630,10.6464,150178
379,630,7.5924,152602
380,483,5.8626,154562
381,483,5.8948,156517
382,504,7.364,158979
383,273,5.4433,160682
384,651,9.5142,163948
385,630,9.076,167023
386,483,6.9125,169170
387,651,9.6436,172422
388,378,5.5576,174287
389,630,9.2456,177394
390,567,6.5155,179535
391,483,9.7938,182876
392,588,6.9009,185228
393,483,6.4082,187307
394,630,8.7429,190288
395,630,8.177,193084
396,294,3.7658,194230
397,378,7.2543,196618
